order,category,label,rating,maxPoints,points,description
1,organization,Organization & Formatting,Excellent,5,5,All formatting guidelines are followed.
1,organization,Organization & Formatting,Good,5,4,Most formatting guidelines are followed; only one or two components from the template are missing.
1,organization,Organization & Formatting,Needs work,5,3,Most formatting guidelines are followed; several components from the template are missing or incomplete.
2,targetPopulation,Survey Content,Excellent,10,10 / 9,All required content is present in the survey.qmd file with proper logic in the app.R file
2,targetPopulation,Survey Content,Good,10,8 / 7 / 6,"All required content is present in the survey.qmd file with proper logic in the app.R file, though it may need one or two small fixes to work properly."
2,targetPopulation,Survey Content,Needs work,10,5 / 4 / 3,"Required content is incomplete and / or missing, and there are multiple fixes required before the app runs. "
3,conjointQuestions,Conjoint Questions,Excellent,10,10 / 9,Randomized conjoint questions render on live survey without error.
3,conjointQuestions,Conjoint Questions,Good,10,8 / 7 / 6,Randomized conjoint questions render on live survey with only one or two errors (e.g. image load fail). 
3,conjointQuestions,Conjoint Questions,Needs work,10,5 / 4 / 3,Randomized conjoint questions have major issues rendering on the live survey. Page load fails or content is displayed in an unintelligle manner.
4,deployment,surveydown,Excellent,10,10 / 9,"Entire survey renders on live survey without errors, user can get to end and questions are clear and understandable."
4,deployment,surveydown,Good,10,8 / 7 / 6,"The survey contains one or two errors when rendering on shinyapps.io, but the user can still get to the end of the survey."
4,deployment,surveydown,Needs work,10,5 / 4 / 3,"An error page displays preventing continuation in the survey, or multiple major errors exist in the survey making it difficult to understand the questions."
